喂喂你叫沈明明。让我报文我姓张。我姓泽泽二十二。好都在哪里呀。 喂喂你叫什么名。王保文啊你是我姓曾。我姓曾嗯是啊。啊住在哪里呀。
我要学校在什么学校啊。深圳大学那环境一定很好了不错。少一点女生你不知道是什么什么。工程挺好啊。 学校呀在什么学校。深圳大学呀那环境一定很好了不错啊。少一点女生你读的是什么学院啊。工程啊挺好呀。
先聊一下手机吧。是啊现在有时候钱好啊你用的是什么手机啊。走过百分是啊。就是嘛没手机怎么报销啊。 先聊下手机吧。是啊现在好啊你用的是什么手机呀。是啊。就是嘛没手机怎么泡妞。
是啊你用的是手机手机啊。便宜你觉得哪种手机比较好用啊。不会吧我觉得诺基亚比较。不过不过我担心怎么好。 是啊你用的是什么手机呀。便宜你觉得哪部手机比较好用啊。不会吧我觉得诺基亚比较好噢。不会吧三星怎么好啊。
资料好。是了吗然后到时候要试一下。是啊我觉得很好用嘛发信息很快方便接了。三星没用惯。 质量好。是吗那我到时候也要试一下。是啊我觉得很好用嘛发信息很快方便些。三星没用惯。
是呀。是啊。还没有我不敢去弄我。有心就是被他。 是啊。是啊。还没有我不敢去弄。就是啊被她。
我也觉得是不是到别人老是用你的号码去注射的话那就惨了。是啊你那上网的吗你那里上网了吗。你也上网那不是很方便吗。我这里也上了我整天泡。 我也觉得是不是到别人老是用你的号码去注册的话那就惨了。是啊你那上网的嘛你那里上网了吗。你也上网了那不是很方便吗。我这里也上了整天泡。
上网啊是啊。像看看电影啊书啊之类的没什么事做啊。是吗你看不看电视啊。你看最近有没有什么新片看啊。 泡网啊是啊。上去看看电影了之类的没什么事做聊聊QQ啊。是嘛你看不看电影呀。也看最近你有没什么新片看呀。
我怀旧。草稿下了那部电影。少林足球我很久以前看过了。很搞笑不过有做得有点假就是。 哇怀旧啊。超搞笑那部电影。少林足球噢我有很久以前看过了。很搞笑啊不过有做的有点假就是了。
是啊太神的车。不过那周星驰那个第一个造型很帅我觉得。赵薇只有那个目的找到了。因为鬼啊这那个最搞笑鬼故事。 是啊太神了。不过那周周星驰那个第一个造型很很帅啊我觉得。赵薇真有那个。鬼样那那个最搞笑。
小丽你现在就在看。唉对。是很不安全。是啊之所以要练就一门技术边打电话边开车。 小莉你现在就在看啊。是啊。对很不安全哪。是啊之所以要练就一门技术边打电话边开车。
唉骑单车还是开车啊。很在行啊你。我一般骑双车的时候可以玩。因为现在没车开嘛。 他还开呀骑单车还是开车。很在行啊你。我一般骑单车的时候可以吧。因为现在没车开嘛。
